"Net generation for petroleum liquids"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=4&geo=vvvvvvvvvvvvo&sec=o3g&linechart=ELEC.GEN.PEL-NY-99.M~ELEC.GEN.PEL-FL-99.M~ELEC.GEN.PEL-HI-99.M~ELEC.GEN.PEL-US-99.M&columnchart=ELEC.GEN.PEL-NY-99.M~ELEC.GEN.PEL-FL-99.M~ELEC.GEN.PEL-HI-99.M~ELEC.GEN.PEL-US-99.M&map=ELEC.GEN.PEL-US-99.M&freq=M&start=200101&end=202007&ctype=linechart&ltype=sourcekey&rtype=s&pin=&rse=0&maptype=0"
"Mon Sep 28 2020 02:12:35 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2001","Feb 2001","Mar 2001","Apr 2001","May 2001","Jun 2001","Jul 2001","Aug 2001","Sep 2001","Oct 2001","Nov 2001","Dec 2001","Jan 2002","Feb 2002","Mar 2002","Apr 2002","May 2002","Jun 2002","Jul 2002","Aug 2002","Sep 2002","Oct 2002","Nov 2002","Dec 2002","Jan 2003","Feb 2003","Mar 2003","Apr 2003","May 2003","Jun 2003","Jul 2003","Aug 2003","Sep 2003","Oct 2003","Nov 2003","Dec 2003","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020"
"Maryland : independent power producers","thousand megawatthours","ELEC.GEN.PEL-MD-94.M",347,242,355,272,226,298,242,494,114,155,98,89,93,93,206,140,104,251,407,246,76,196,118,320,675,504,369,334,63,215,368,519,135,39,100,195,573,207,251,317,517,305,228,470,105,15,21,201,441,97,123,15,38,500,581,493,389,306,146,563,66,47,10,12,22,49,123,141,7,7,18,32,55,344,81,33,25,80,43,127,53,29,16,54,63,56,13,6,22,68,64,17,25,12,13,38,126,20,72,7,9,12,16,12,9,15,10,15,22,20,7,7,17,28,66,43,32,17,7,43,22,10,6,9,14,37,56,14,13,7,9,22,6,-2,12,5,8,22,25,13,5,5,4,5,13,5,7,9,15,4,25,6,12,5,7,39,270,31,74,7,8,6,5,7,5,3,5,7,24,72,11,6,13,18,23,11,11,7,4,4,36,25,11,11,10,13,14,20,9,10,-5,6,11,3,6,3,9,8,14,11,16,-1,7,11,194,3,5,5,6,5,12,8,5,4,5,2,13,10,7,2,4,5,10,7,7,6,2,5,10,1,"NM",1,2,10,21
"Maryland : all commercial","thousand megawatthours","ELEC.GEN.PEL-MD-96.M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,1,2,1,2,2,1,2,1,2,1,2,2,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NM",0,"NM"
"Maryland : all industrial","thousand megawatthours","ELEC.GEN.PEL-MD-97.M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,4,5,6,10,6,4,9,2,0,0,3,9,4,5,3,1,6,8,9,7,7,3,9,4,4,3,3,2,2,3,2,2,2,3,4,6,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"NM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Carolina","thousand megawatthours","ELEC.GEN.PEL-NC-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Carolina : all sectors","thousand megawatthours","ELEC.GEN.PEL-NC-99.M",113,43,81,105,52,47,39,52,33,31,29,32,89,60,74,53,54,51,43,36,29,37,28,38,185,140,57,45,63,96,50,25,27,29,32,35,105,48,40,39,90,47,35,30,45,30,40,62,81,35,44,40,42,25,38,43,46,36,32,58,51,37,35,30,34,29,33,39,28,34,40,60,61,70,36,42,37,33,34,58,28,33,28,37,53,27,23,19,25,20,14,19,19,24,37,41,51,37,35,18,24,21,18,19,18,12,20,24,69,34,15,14,21,21,14,16,12,11,16,51,50,12,16,14,26,24,13,14,14,8,12,14,31,19,8,15,25,12,12,7,11,14,16,9,26,18,24,14,18,11,22,13,12,17,26,17,288,22,26,9,22,20,12,15,7,8,10,19,82,195,19,7,25,20,14,13,12,10,21,16,57,38,10,12,20,19,15,15,12,14,10,29,33,14,22,18,21,15,13,10,16,25,29,36,388,8,27,33,27,26,18,24,15,8,22,37,45,13,21,16,21,21,15,16,14,14,19,20,17,8,8,6,16,18,14
"North Carolina : electric power",,"ELEC.GEN.PEL-NC-98.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Carolina : electric utility","thousand megawatthours","ELEC.GEN.PEL-NC-1.M",78,23,59,87,32,25,23,31,12,13,13,15,66,40,54,38,40,37,27,18,9,20,13,13,100,83,29,27,46,81,34,11,9,12,14,13,45,15,9,11,60,19,9,11,14,10,13,33,37,8,16,11,17,11,19,24,29,14,12,34,25,18,16,14,17,12,17,22,10,14,17,36,32,39,13,21,10,12,13,32,17,16,9,22,43,18,15,11,20,13,9,9,14,17,29,34,44,30,28,14,19,18,14,13,13,10,12,17,59,26,9,11,17,18,13,14,11,8,13,45,44,9,13,12,23,21,11,11,11,6,11,12,28,17,6,15,23,11,10,6,10,12,14,8,24,17,23,12,17,10,21,12,11,15,24,16,260,19,24,8,20,19,11,14,7,8,8,18,69,167,12,6,21,17,12,11,11,8,18,10,30,36,9,11,19,18,13,14,12,13,8,27,30,13,19,16,19,14,11,9,15,23,26,33,352,7,24,31,25,22,17,22,12,6,20,33,42,12,19,15,19,19,13,14,12,12,17,17,16,7,7,5,15,17,12
"North Carolina : independent power producers","thousand megawatthours","ELEC.GEN.PEL-NC-94.M",10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,9,53,37,11,2,1,0,0,0,1,1,0,1,25,4,0,0,2,4,0,0,0,0,1,5,11,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,22,0,1,0,1,0,0,1,0,0,1,0,12,24,4,0,3,2,1,1,1,1,2,5,27,1,0,0,1,0,1,1,1,0,1,1,2,1,3,1,1,1,0,0,1,1,1,2,28,1,1,1,1,1,1,1,1,1,1,2,"NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM"
"North Carolina : all commercial","thousand megawatthours","ELEC.GEN.PEL-NC-96.M",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM"
"North Carolina : all industrial","thousand megawatthours","ELEC.GEN.PEL-NC-97.M",24,19,21,17,20,21,16,21,21,18,16,17,23,20,15,14,14,14,16,18,20,17,14,16,31,19,16,16,16,15,15,14,17,16,17,21,35,29,30,27,28,23,25,18,30,20,26,24,33,27,28,29,25,14,19,19,16,21,20,21,25,18,19,16,17,17,16,17,18,20,22,24,29,26,22,21,27,21,21,25,10,16,18,15,9,9,8,7,5,6,5,9,4,6,7,7,7,6,6,4,4,3,3,6,5,3,6,6,9,8,5,3,3,2,1,2,1,3,2,5,6,2,2,2,2,3,1,3,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6,3,1,1,1,1,0,0,0,1,0,1,1,4,2,1,1,1,1,1,0,"NM",1,1,1,1,1,0,0,0,2,0,0,0,0,1,1,1,1,2,1,0,0,1,1,1,2,1,6,0,1,1,1,2,1,1,2,1,1,1,"NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM"
"South Carolina","thousand megawatthours","ELEC.GEN.PEL-SC-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Carolina : all sectors","thousand megawatthours","ELEC.GEN.PEL-SC-99.M",58,25,37,35,20,13,19,48,8,18,16,11,18,14,34,21,25,55,32,18,26,14,21,24,65,62,28,22,30,51,23,26,19,16,17,50,98,43,41,16,38,26,18,20,19,22,14,24,27,15,21,18,17,18,22,78,41,14,15,53,19,13,14,15,15,14,15,33,19,16,14,33,25,25,12,12,12,12,18,45,19,17,11,10,13,7,8,11,10,27,4,8,8,9,7,16,11,13,18,8,4,16,9,2,6,12,19,21,25,13,8,11,13,18,14,8,5,5,10,33,19,9,8,10,11,8,8,6,4,4,15,8,15,14,8,7,10,12,10,8,5,3,9,6,7,9,7,9,11,7,21,7,6,5,10,5,144,16,19,9,12,7,6,7,5,5,9,7,34,79,9,11,9,8,4,8,3,10,12,5,25,17,4,5,10,11,8,7,6,5,8,9,9,4,14,8,7,9,11,7,9,4,6,9,230,5,11,9,16,7,7,11,10,8,16,15,13,5,11,4,8,8,8,7,"NM",5,11,7,6,6,5,5,5,7,5
"South Carolina : electric power",,"ELEC.GEN.PEL-SC-98.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Carolina : electric utility","thousand megawatthours","ELEC.GEN.PEL-SC-1.M",42,15,25,27,14,8,14,45,4,15,10,7,11,8,26,11,19,46,26,11,19,8,6,15,40,48,16,9,19,30,12,14,8,4,7,34,67,23,23,3,25,14,7,8,7,8,5,10,15,5,8,7,7,5,11,65,31,6,5,41,8,5,5,8,7,8,9,26,12,13,5,13,21,22,8,9,8,8,15,42,16,12,7,6,10,4,5,10,9,26,3,7,7,7,5,14,8,8,14,5,2,10,8,1,4,12,18,19,23,13,5,10,11,17,13,7,4,4,9,33,18,8,6,9,10,7,7,6,3,4,14,8,13,13,7,7,9,11,9,7,5,2,9,5,6,8,7,7,10,6,20,6,5,3,9,4,133,15,18,7,8,6,5,6,4,5,8,4,28,73,8,7,8,8,3,7,3,8,11,4,24,14,2,4,9,10,7,6,4,3,6,7,7,4,12,7,7,8,11,6,9,3,6,8,224,4,9,8,15,7,7,10,9,7,14,14,12,4,10,3,8,7,8,7,"NM","NM",9,7,6,6,4,5,5,"NM",5
"South Carolina : independent power producers","thousand megawatthours","ELEC.GEN.PEL-SC-94.M",4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,7,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,2,0,0,1,1,0,1,1,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"South Carolina : all commercial","thousand megawatthours","ELEC.GEN.PEL-SC-96.M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Carolina : all industrial","thousand megawatthours","ELEC.GEN.PEL-SC-97.M",11,10,11,8,6,5,5,3,4,3,6,3,7,5,9,10,6,9,6,7,6,6,15,8,14,13,12,13,11,14,11,12,11,12,10,15,16,17,18,13,13,12,11,13,13,14,9,14,12,10,13,11,10,13,11,12,10,9,9,13,11,9,8,6,7,6,7,8,6,4,9,20,3,3,4,3,4,3,3,3,3,4,4,3,3,3,3,1,1,1,1,1,1,2,1,2,3,5,5,3,3,6,2,1,1,1,1,2,2,0,2,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,4,1,1,0,1,0,2,1,1,1,3,2,1,0,1,0,1,2,2,2,1,1,0,2,1,0,1,1,1,0,1,0,1,2,1,2,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
"Virginia","thousand megawatthours","ELEC.GEN.PEL-VA-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virginia : all sectors","thousand megawatthours","ELEC.GEN.PEL-VA-99.M",652,345,790,734,222,474,482,740,146,86,415,374,358,281,246,345,101,473,677,567,100,50,205,390,1137,548,369,373,113,665,684,746,247,165,33,701,1032,481,380,306,801,318,719,453,174,23,18,449,691,415,188,22,27,323,534,638,472,294,28,633,22,39,21,19,21,98,223,274,24,28,23,49,193,740,215,155,32,188,105,326,26,68,16,34,201,78,11,23,19,208,102,41,52,15,221,178,487,179,143,13,37,25,45,89,11,15,19,24,124,65,15,15,36,178,252,141,112,25,44,284,89,11,25,10,53,62,110,73,12,22,20,15,19,25,9,11,22,55,141,15,22,21,14,10,53,10,13,9,17,38,61,56,23,12,12,9,708,78,106,12,16,14,88,48,18,30,59,29,92,590,32,7,44,39,133,64,13,14,45,34,173,57,30,14,26,44,65,58,34,12,11,12,45,38,20,7,53,69,23,31,24,58,28,58,506,10,12,24,52,112,24,26,31,49,56,49,56,14,18,9,12,17,30,82,17,16,18,14,15,9,8,6,10,23,34
"Virginia : electric power",,"ELEC.GEN.PEL-VA-98.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virginia : electric utility","thousand megawatthours","ELEC.GEN.PEL-VA-1.M",498,234,677,708,202,454,460,714,123,52,389,344,331,261,205,325,87,453,628,517,79,37,192,341,914,436,278,333,87,594,635,680,221,137,16,651,839,439,357,276,765,290,692,424,159,6,7,411,540,392,153,9,15,305,511,610,432,279,11,552,8,15,8,7,8,87,207,253,8,15,12,36,121,546,182,141,17,169,93,306,10,49,7,14,125,43,5,14,12,191,91,31,42,9,195,146,342,111,99,6,17,19,32,78,5,9,12,10,49,30,9,8,28,164,226,127,96,16,32,249,57,8,21,6,45,50,96,62,6,19,14,11,8,4,5,8,14,46,117,6,4,7,10,6,43,3,8,6,12,26,49,51,6,7,7,6,599,59,86,7,10,5,77,45,13,8,13,13,73,486,29,5,14,34,126,57,2,10,9,7,152,50,5,3,6,36,54,45,8,5,8,9,28,14,16,5,46,60,17,25,18,25,16,38,385,7,10,15,43,105,14,16,17,25,31,25,35,9,11,4,5,10,19,73,"NM",8,11,7,10,5,"NM","NM","NM",16,23
"Virginia : independent power producers","thousand megawatthours","ELEC.GEN.PEL-VA-94.M",114,94,99,13,5,7,7,11,10,16,11,16,16,6,30,13,7,12,40,44,10,6,6,16,214,103,81,33,16,63,36,57,16,18,7,39,181,32,13,18,23,16,16,19,6,8,3,29,139,13,27,5,4,9,17,22,32,7,11,73,6,18,5,3,4,8,11,13,6,8,4,4,62,182,21,6,3,10,7,12,7,12,3,13,74,33,3,7,3,16,7,5,7,2,22,28,140,63,38,3,3,3,10,7,1,3,2,5,71,20,2,4,6,9,23,11,11,2,8,31,30,2,1,1,5,6,11,8,3,-1,3,0,7,19,2,2,6,7,21,6,16,12,2,1,7,1,2,1,2,11,10,4,16,2,4,2,106,18,18,4,5,8,10,3,4,21,46,15,19,102,2,1,30,4,7,6,10,3,36,27,20,7,25,10,20,7,10,13,25,5,3,3,13,22,2,1,4,5,3,3,4,30,10,17,112,1,1,6,5,3,2,3,10,21,21,21,18,4,5,3,3,3,6,5,5,4,3,3,2,2,2,2,2,2,6
"Virginia : all commercial","thousand megawatthours","ELEC.GEN.PEL-VA-96.M",26,7,4,2,3,2,3,3,1,6,3,2,5,9,0,0,0,0,0,0,0,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,3,3,3,4,2,3,2,2,8,2,1,2,4,4,7,5,4,3,4,3,3,1,2,2,3,3,5,3,6,4,4,3,3,2,3,2,5,4,5
"Virginia : all industrial","thousand megawatthours","ELEC.GEN.PEL-VA-97.M",14,11,10,11,11,11,12,12,11,12,12,13,6,6,10,7,7,8,9,6,11,5,7,9,9,8,10,7,9,8,13,9,10,10,9,11,12,10,11,12,12,12,11,10,9,9,8,9,13,9,8,7,8,9,6,6,8,8,6,8,8,6,8,9,9,4,5,8,11,5,7,8,10,12,12,8,11,8,5,8,8,7,7,7,2,2,3,3,5,1,5,4,2,4,4,5,6,5,5,4,17,3,3,3,6,4,5,9,4,16,4,3,2,5,3,3,5,7,4,4,3,2,3,3,2,6,3,4,3,4,3,4,4,2,1,2,2,2,2,3,2,2,3,3,3,6,2,2,2,2,2,1,1,2,1,1,2,2,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"NM",1,"NM","NM","NM","NM","NM",0,"NM","NM","NM",1,0,"NM",1,"NM","NM"
"West Virginia","thousand megawatthours","ELEC.GEN.PEL-WV-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West Virginia : all sectors","thousand megawatthours","ELEC.GEN.PEL-WV-99.M",18,27,30,21,18,27,27,32,15,14,24,27,23,22,41,21,26,23,27,16,20,20,22,37,28,40,16,22,22,19,17,15,17,12,18,22,32,32,35,20,21,22,15,10,16,18,22,24,24,16,16,26,17,20,13,16,13,17,20,25,20,16,14,17,11,16,15,12,10,14,17,12,16,17,16,31,10,22,13,17,19,7,11,21,8,16,12,18,14,10,8,16,8,9,8,10,13,10,16,12,24,10,12,13,12,20,12,17,8,17,15,9,13,18,8,14,13,9,19,11,31,19,20,7,21,14,10,15,13,14,11,14,10,12,12,10,13,14,11,13,11,11,13,12,11,9,9,9,9,17,21,15,8,10,15,16,33,12,14,10,13,14,7,9,9,11,18,13,11,16,12,7,12,18,15,11,5,10,15,9,10,7,8,9,16,9,6,11,11,11,9,13,12,15,5,10,11,11,9,12,6,8,11,10,23,18,11,11,15,17,8,10,9,10,10,17,8,9,9,8,10,14,17,11,11,4,14,14,22,19,7,9,7,6,16
"West Virginia : electric power",,"ELEC.GEN.PEL-WV-98.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
